PNA;NAZWA PLACÓWKI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
15-100;UP Białystok 27;Białystok;Bitwy Białostockiej;8A;Białystok;Białystok;podlaskie
15-675;UP Białystok 28;Białystok;Ekologiczna;16;Białystok;Białystok;podlaskie
15-154;UP Białystok 29;Białystok;Trawiasta;16;Białystok;Białystok;podlaskie
15-280;UP Białystok 30;Białystok;Jerzego Waszyngtona;22 B;Białystok;Białystok;podlaskie
15-775;UP Białystok 31;Białystok;Konstytucji 3 Maja Al.;22;Białystok;Białystok;podlaskie
15-699;UP Białystok 32;Białystok;ks. Witolda Pietkuna;5;Białystok;Białystok;podlaskie
15-330;UP Białystok 33;Białystok;Zachodnia;5 B;Białystok;Białystok;podlaskie
15-447;UP Białystok 34;Białystok;Aleja Józefa Piłsudskiego;26;Białystok;Białystok;podlaskie
15-900;PP Białystok B102;Białystok;Kolejowa;15;Białystok;Białystok;podlaskie
15-700;PP Białystok B103;Białystok;Zwycięstwa;1/2;Białystok;Białystok;podlaskie
38-340;UP Biecz;Biecz;Kazimierza Wielkiego;9;Biecz;gorlicki;małopolskie
38-305;FUP Biecz;Lipinki;;53;Lipinki;gorlicki;małopolskie
68-343;AP Biecz;Biecz;;61;Brody;żarski;lubuskie
62-305;AP Bieganowo;Bieganowo;;18;Kołaczkowo;wrzesiński;wielkopolskie
55-077;UP Bielany Wrocławskie 4;Bielany Wrocławskie;Francuska;6;Kobierzyce;wrocławski;dolnośląskie
58-260;UP Bielawa 1;Bielawa;Piastowska;16;Bielawa;dzierżoniowski;dolnośląskie
58-260;FUP Bielawa 1;Bielawa;Stefana Żeromskiego;21;Bielawa;dzierżoniowski;dolnośląskie
58-261;FUP Bielawa 1;skrytki/przegródki;;;Bielawa;dzierżoniowski;dolnośląskie
58-263;UP Bielawa 4;Bielawa;Jana III Sobieskiego;17;Bielawa;dzierżoniowski;dolnośląskie
74-503;AP Bielin;Bielin;;36;Moryń;gryfiński;zachodniopomorskie
26-004;UP Bieliny;Bieliny;Żeromskiego;2;Bieliny;kielecki;świętokrzyskie
09-230;UP Bielsk;Bielsk;Sierpecka;4;Bielsk;płocki;mazowieckie
17-100;AP Bielsk Podlaski;Bielsk Podlaski;Adama Mickiewicza;124;Bielsk Podlaski;bielski;podlaskie
17-100;UP Bielsk Podlaski 1;Bielsk Podlaski;Adama Mickiewicza;20;Bielsk Podlaski;bielski;podlaskie
17-100;FUP Bielsk Podlaski 1;Bielsk Podlaski;Białowieska;111;Bielsk Podlaski;bielski;podlaskie
17-111;FUP Bielsk Podlaski 1;Boćki;Armii Krajowej Pl.;6A;Boćki;bielski;podlaskie
17-106;FUP Bielsk Podlaski 1;Orla;Adama Mickiewicza;5;Orla;bielski;podlaskie
17-102;UP Bielsk Podlaski 4;Bielsk Podlaski;Adama Mickiewicza;51;Bielsk Podlaski;bielski;podlaskie
43-382;AP Bielsko-Biała;Bielsko-Biała;Cieszyńska;396;Bielsko-Biała;Bielsko-Biała;śląskie
43-314;AP Bielsko-Biała;Bielsko-Biała;Jana Sobieskiego;83;Bielsko-Biała;Bielsko-Biała;śląskie
43-303;AP Bielsko-Biała;Bielsko-Biała;Jana Sobieskiego;172;Bielsko-Biała;Bielsko-Biała;śląskie
43-313;AP Bielsko-Biała;Bielsko-Biała;Leszczyńska;20;Bielsko-Biała;Bielsko-Biała;śląskie
43-312;AP Bielsko-Biała;Bielsko-Biała;Mieczysława Michałowicza;12;Bielsko-Biała;Bielsko-Biała;śląskie
43-300;UP Bielsko-Biała 1;Bielsko-Biała;1 Maja;2;Bielsko-Biała;Bielsko-Biała;śląskie
43-301;UP Bielsko-Biała 1;skrytki/przegródki;;;Bielsko-Biała;Bielsko-Biała;śląskie
43-300;FUP Bielsko-Biała 1;Bielsko-Biała;Armii Krajowej Al.;220 A;Bielsko-Biała;Bielsko-Biała;śląskie
43-300;FUP Bielsko-Biała 1;Bielsko-Biała;Górska;50;Bielsko-Biała;Bielsko-Biała;śląskie
43-318;FUP Bielsko-Biała 1;skrytki/przegródki;;;Bielsko-Biała;Bielsko-Biała;śląskie
43-300;FUP Bielsko-Biała 1;Bielsko-Biała;Lipnicka;133;Bielsko-Biała;Bielsko-Biała;śląskie
43-305;FUP Bielsko-Biała 1;skrytki/przegródki;;;Bielsko-Biała;Bielsko-Biała;śląskie
43-300;FUP Bielsko-Biała 1;Bielsko-Biała;Mostowa;5;Bielsko-Biała;Bielsko-Biała;śląskie
43-300;FUP Bielsko-Biała 1;Bielsko-Biała;pl. Ratuszowy;6;Bielsko-Biała;Bielsko-Biała;śląskie
43-315;FUP Bielsko-Biała 1;skrytki/przegródki;;;Bielsko-Biała;Bielsko-Biała;śląskie
43-300;FUP Bielsko-Biała 1;Bielsko-Biała;Żywiecka;19a;Bielsko-Biała;Bielsko-Biała;śląskie
43-302;UP Bielsko-Biała 2;Bielsko-Biała;Legionów;47;Bielsko-Biała;Bielsko-Biała;śląskie
43-311;FUP Bielsko-Biała 2;Bielsko-Biała;Jutrzenki;20;Bielsko-Biała;Bielsko-Biała;śląskie
43-310;FUP Bielsko-Biała 2;Bielsko-Biała;Żywiecka;302;Bielsko-Biała;Bielsko-Biała;śląskie
43-303;UP Bielsko-Biała 3;Bielsko-Biała;Cieszyńska;140;Bielsko-Biała;Bielsko-Biała;śląskie
43-317;FUP Bielsko-Biała 3;Bielsko-Biała;Mikołaja Reja;16;Bielsko-Biała;Bielsko-Biała;śląskie
43-304;UP Bielsko-Biała 4;Bielsko-Biała;pl. Wolności;6;Bielsko-Biała;Bielsko-Biała;śląskie
43-309;UP Bielsko-Biała 9;Bielsko-Biała;Pocztowa;8;Bielsko-Biała;Bielsko-Biała;śląskie
43-345;UP Bielsko-Biała 12;Bielsko-Biała;Wyzwolenia;293;Bielsko-Biała;Bielsko-Biała;śląskie
43-344;UP Bielsko-Biała 12;skrytki/przegródki;;;Bielsko-Biała;Bielsko-Biała;śląskie
43-346;UP Bielsko-Biała 13;Bielsko-Biała;Komorowicka;235;Bielsko-Biała;Bielsko-Biała;śląskie
43-382;UP Bielsko-Biała 14;Bielsko-Biała;Dworcowa;29;Bielsko-Biała;Bielsko-Biała;śląskie
43-316;UP Bielsko-Biała 16;Bielsko-Biała;Doliny Miętusiej;3;Bielsko-Biała;Bielsko-Biała;śląskie
43-308;FUP Bielsko-Biała 16;Bielsko-Biała;Andrychowska;2A;Bielsko-Biała;Bielsko-Biała;śląskie
43-319;UP Bielsko-Biała 19;Bielsko-Biała;Warszawska;2;Bielsko-Biała;Bielsko-Biała;śląskie
43-319;FUP Bielsko-Biała 19;Bielsko-Biała;Piastowska;40;Bielsko-Biała;Bielsko-Biała;śląskie
43-319;FUP Bielsko-Biała 19;Bielsko-Biała;Warszawska;180;Bielsko-Biała;Bielsko-Biała;śląskie
43-302;PP Bielsko-Biała S201;Bielsko-Biała;Legionów;47;Bielsko-Biała;Bielsko-Biała;śląskie
05-873;AP Bieniewice;Bieniewice;Miła;2b;Błonie;warszawski zachodni;mazowieckie
46-046;AP Bierdzany;Bierdzany;Szkolna;16a;Turawa;opolski;opolskie
43-151;AP Bieruń;Bieruń;Węglowa;47;Bieruń;bieruńsko-lędziński;śląskie
43-155;UP Bieruń Nowy;Bieruń;Wawelska;33;Bieruń;bieruńsko-lędziński;śląskie
