PNA;NAZWA PLACÓWKI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
42-284;FUP Blachownia 1;Herby;Lubliniecka;33;Herby;lubliniecki;śląskie
42-274;FUP Blachownia 1;Konopiska;Lipowa;3;Konopiska;częstochowski;śląskie
11-102;AP Blanki;Blanki;;22;Lidzbark Warmiński;lidzbarski;warmińsko-mazurskie
09-452;AP Blichowo;Blichowo;;61b;Bulkowo;płocki;mazowieckie
62-814;UP Blizanów;Blizanów;;31;Blizanów;kaliski;wielkopolskie
36-221;AP Blizne;Blizne;;509A;Jasienica Rosielna;brzozowski;podkarpackie
26-120;UP Bliżyn;Bliżyn;Kościuszki;85 A;Bliżyn;skarżyski;świętokrzyskie
98-235;UP Błaszki;Błaszki;Sieradzka;57;Błaszki;sieradzki;łódzkie
23-320;AP Błażek;Błażek;;207;Batorz;janowski;lubelskie
36-030;UP Błażowa Rzeszowska;Błażowa;3 Maja;9;Błażowa;rzeszowski;podkarpackie
86-100;AP Błądzim;Błądzim;;31;Lniano;świecki;kujawsko-pomorskie
87-866;AP Błenna;Błenna;;9;Izbica Kujawska;włocławski;kujawsko-pomorskie
05-620;UP Błędów;Błędów;Nowy Rynek;15;Błędów;grójecki;mazowieckie
05-870;UP Błonie;Błonie;Targowa;3 A;Błonie;warszawski zachodni;mazowieckie
05-872;FUP Błonie;Błonie;Nowakowskiego;2/4;Błonie;warszawski zachodni;mazowieckie
05-085;FUP Błonie;Kampinos;Fryderyka Chopina;1;Kampinos;warszawski zachodni;mazowieckie
05-084;FUP Błonie;Leszno;Błońska;20;Leszno;warszawski zachodni;mazowieckie
05-871;AP Błonie;Błonie;Warszawska;3;Błonie;warszawski zachodni;mazowieckie
72-200;AP Błotno;Błotno;;1;Nowogard;goleniowski;zachodniopomorskie
76-020;UP Bobolice;Bobolice;Pocztowa;9;Bobolice;koszaliński;zachodniopomorskie
76-020;AP Bobolice;Bobolice;pl. Zwycięstwa;20;Bobolice;koszaliński;zachodniopomorskie
38-350;UP Bobowa;Bobowa;Pocztowa;2;Bobowa;gorlicki;małopolskie
83-212;AP Bobowo;Bobowo;Gdańska;71;Bobowo;starogardzki;pomorskie
08-500;AP Bobrowniki;Bobrowniki;Krasnoglińska;8;Ryki;rycki;lubelskie
42-583;UP Bobrowniki k. Będzina;Bobrowniki;Sienkiewicza;121 B;Bobrowniki;będziński;śląskie
87-617;UP Bobrowniki n. Wisłą;Bobrowniki;Senatorska;8;Bobrowniki;lipnowski;kujawsko-pomorskie
87-327;UP Bobrowo;Bobrowo;;20a;Bobrowo;brodnicki;kujawsko-pomorskie
32-700;UP Bochnia;Bochnia;Kazimierza Wielkiego;34;Bochnia;bocheński;małopolskie
32-703;FUP Bochnia;Bochnia;Legionów Polskich;13/i;Bochnia;bocheński;małopolskie
32-704;FUP Bochnia;Bochnia;Księcia Józefa Poniatowskiego;24;Bochnia;bocheński;małopolskie
32-701;FUP Bochnia;Bochnia;Proszowska;69;Bochnia;bocheński;małopolskie
32-709;FUP Bochnia;Drwinia;;57;Drwinia;bocheński;małopolskie
32-708;FUP Bochnia;Dziewin;;292;Drwinia;bocheński;małopolskie
32-765;FUP Bochnia;Rzezawa;Kościelna;8;Rzezawa;bocheński;małopolskie
32-705;AP Bochnia;Bochnia;pl. św. Kingi;1;Bochnia;bocheński;małopolskie
32-702;AP Bochnia;Bochnia;Partyzantów;2a/0.70;Bochnia;bocheński;małopolskie
09-470;UP Bodzanów;Bodzanów;Elizy Orzeszkowej;25;Bodzanów;płocki;mazowieckie
09-454;FUP Bodzanów;Bulkowo;Szkolna;1;Bulkowo;płocki;mazowieckie
26-010;UP Bodzentyn;Bodzentyn;Suchedniowska;1;Bodzentyn;kielecki;świętokrzyskie
26-010;AP Bodzentyn;Bodzentyn;Langiewicza;20;Bodzentyn;kielecki;świętokrzyskie
63-820;AP Bodzewo;Bodzewo;;72;Piaski;gostyński;wielkopolskie
46-243;AP Bogacica;Bogacica;Jana Pawła II;1;Kluczbork;kluczborski;opolskie
59-920;AP Bogatynia;Bogatynia;Jana Matejki;11;Bogatynia;zgorzelecki;dolnośląskie
59-920;UP Bogatynia 1;Bogatynia;Pocztowa;1;Bogatynia;zgorzelecki;dolnośląskie
59-916;FUP Bogatynia 1;Bogatynia;Parkowa;2;Bogatynia;zgorzelecki;dolnośląskie
66-450;UP Bogdaniec;Bogdaniec;Mickiewicza;28;Bogdaniec;gorzowski;lubuskie
28-210;UP Bogoria;Bogoria;Rynek;28;Bogoria;staszowski;świętokrzyskie
36-040;UP Boguchwała;Boguchwała;Suszyckich;33;Boguchwała;rzeszowski;podkarpackie
36-039;AP Boguchwała;Boguchwała;Kopernika;6A;Boguchwała;rzeszowski;podkarpackie
06-541;AP Bogurzyn;Bogurzyn;;65a;Wiśniewo;mławski;mazowieckie
58-370;UP Boguszów-Gorce 1;Boguszów-Gorce;Adama Mickiewicza;9;Boguszów-Gorce;wałbrzyski;dolnośląskie
58-371;FUP Boguszów-Gorce 1;Boguszów-Gorce;Grunwaldzka;5;Boguszów-Gorce;wałbrzyski;dolnośląskie
58-379;FUP Boguszów-Gorce 1;Czarny Bór;Kamiennogórska;11;Czarny Bór;wałbrzyski;dolnośląskie
96-200;AP Boguszyce;Boguszyce;;61;Rawa Mazowiecka;rawski;łódzkie
07-325;UP Boguty;Boguty-Pianki;Aleja Papieża Jana Pawła II;45;Boguty-Pianki;ostrowski;mazowieckie
21-550;AP Bohukały;Bohukały;;51;Terespol;bialski;lubelskie
37-433;UP Bojanów k. Niska;Bojanów;Parkowa;5;Bojanów;stalowowolski;podkarpackie
59-700;AP Bolesławiec;Bolesławiec;Cicha;4c;Bolesławiec;bolesławiecki;dolnośląskie
59-700;AP Bolesławiec;Bolesławiec;Kaszubska;1/1;Bolesławiec;bolesławiecki;dolnośląskie
59-700;AP Bolesławiec;Bolesławiec;Masarska;1;Bolesławiec;bolesławiecki;dolnośląskie
59-700;AP Bolesławiec;Bolesławiec;Śluzowa;13 a;Bolesławiec;bolesławiecki;dolnośląskie
59-701;AP Bolesławiec;Bolesławiec;Wesoła;1;Bolesławiec;bolesławiecki;dolnośląskie
59-700;AP Bolesławiec;Bolesławiec;Stefana Żeromskiego;2;Bolesławiec;bolesławiecki;dolnośląskie
59-700;UP Bolesławiec Śląski 1;Bolesławiec;Kaszubska;5;Bolesławiec;bolesławiecki;dolnośląskie
59-706;FUP Bolesławiec Śląski 1;Gromadka;11 Listopada;31;Gromadka;bolesławiecki;dolnośląskie
59-722;FUP Bolesławiec Śląski 1;Warta Bolesławiecka;;21;Warta Bolesławiecka;bolesławiecki;dolnośląskie
59-703;UP Bolesławiec Śląski 5;Bolesławiec;Adama Asnyka;22;Bolesławiec;bolesławiecki;dolnośląskie
74-407;AP Boleszkowice;Boleszkowice;pl. Zwycięstwa;1;Boleszkowice;myśliborski;zachodniopomorskie
64-305;AP Bolewice;Bolewice;Nowa;1;Miedzichowo;nowotomyski;wielkopolskie
59-420;UP Bolków;Bolków;Kamiennogórska;17;Bolków;jaworski;dolnośląskie
84-239;AP Bolszewo;Bolszewo;Zamostna;39;Wejherowo;wejherowski;pomorskie
16-051;AP Bondary;Bondary;;1;Michałowo;białostocki;podlaskie
07-411;AP Borawe;Borawe;;107 A;Rzekuń;ostrołęcki;mazowieckie
14-232;AP Boreczno;Boreczno;;12 A;Zalewo;iławski;warmińsko-mazurskie
27-440;AP Boria;Boria;;49B;Ćmielów;ostrowiecki;świętokrzyskie
39-307;AP Borki Nizińskie;Borki Nizińskie;;131;Tuszów Narodowy;mielecki;podkarpackie
46-300;AP Borki Wielkie;Borki Wielkie;Ojca Alarda;26 A;Olesno;oleski;opolskie
18-500;AP Borkowo;Borkowo;;127;Kolno;kolneński;podlaskie
09-203;AP Borkowo Wielkie;Borkowo Wielkie;Długa;2;Sierpc;sierpecki;mazowieckie
78-449;UP Borne Sulinowo;Borne Sulinowo;Aleja Niepodległości;16;Borne Sulinowo;szczecinecki;zachodniopomorskie
42-283;AP Boronów;Boronów;3 Maja;82;Boronów;lubliniecki;śląskie
39-305;UP Borowa k. Mielca;Borowa;;266;Borowa;mielecki;podkarpackie
39-304;FUP Borowa k. Mielca;Czermin;;143;Czermin;mielecki;podkarpackie
55-093;AP Borowa Oleśnicka;Borowa;Lipowa;13;Długołęka;wrocławski;dolnośląskie
67-130;AP Borowina;Borowina;;36;Szprotawa;żagański;lubuskie
77-138;AP Borowy Młyn;Borowy Młyn;Długa;21;Lipnica;bytowski;pomorskie
62-035;AP Borówiec;Borówiec;Polna;1;Kórnik;poznański;wielkopolskie
64-300;AP Boruja Kościelna;Boruja Kościelna;Wolsztyńska;2;Nowy Tomyśl;nowotomyski;wielkopolskie
83-210;AP Borzechowo;Borzechowo;Szkolna;5A;Zblewo;starogardzki;pomorskie
97-532;AP Borzykowa;Borzykowa;Cmentarna;3;Żytno;radomszczański;łódzkie
74-100;AP Borzym;Borzym;;22A;Gryfino;gryfiński;zachodniopomorskie
19-314;AP Borzymy;Borzymy;;23;Kalinowo;ełcki;warmińsko-mazurskie
63-640;UP Bralin;Bralin;Wrocławska;44;Bralin;kępiński;wielkopolskie
14-501;AP Braniewo;Braniewo;Elbląska;20 B;Braniewo;braniewski;warmińsko-mazurskie
14-500;UP Braniewo 1;Braniewo;Hozjusza;1;Braniewo;braniewski;warmińsko-mazurskie
14-500;FUP Braniewo 1;Braniewo;Dembińskiego;1;Braniewo;braniewski;warmińsko-mazurskie
14-502;FUP Braniewo 1;Braniewo;Kościuszki;66;Braniewo;braniewski;warmińsko-mazurskie
14-530;FUP Braniewo 1;Frombork;Pocztowa;9;Frombork;braniewski;warmińsko-mazurskie
17-120;UP Brańsk;Brańsk;Rynek;6;Brańsk;bielski;podlaskie
36-072;AP Bratkowice;Bratkowice;;382B;Świlcza;rzeszowski;podkarpackie
62-620;AP Brdów;Brdów;Kościelna;3;Babiak;kolski;wielkopolskie
64-150;AP Brenno;Brenno;Kościelna;13;Wijewo;leszczyński;wielkopolskie
73-240;AP Breń;Breń;;34;Bierzwnik;choszczeński;zachodniopomorskie
78-553;AP Broczyno;Broczyno;;42;Czaplinek;drawski;zachodniopomorskie
63-112;AP Brodnica;Brodnica;Główna;80;Brodnica;śremski;wielkopolskie
87-300;UP Brodnica 1;Brodnica;Pocztowa;5;Brodnica;brodnicki;kujawsko-pomorskie
87-301;FUP Brodnica 1;Brodnica;Stanisława Wyspiańskiego;8;Brodnica;brodnicki;kujawsko-pomorskie
87-302;FUP Brodnica 1;Brodnica;Zawiszy Czarnego;9;Brodnica;brodnicki;kujawsko-pomorskie
87-340;FUP Brodnica 1;Osiek;;81;Osiek;brodnicki;kujawsko-pomorskie
87-305;FUP Brodnica 1;Zbiczno;;169;Zbiczno;brodnicki;kujawsko-pomorskie
06-320;AP Brodowe Łąki;Brodowe Łąki;;25;Baranowo;ostrołęcki;mazowieckie
64-312;AP Brody;Brody;;30;Lwówek;nowotomyski;wielkopolskie
07-306;UP Brok;Brok;Warszawska;15;Brok;ostrowski;mazowieckie
64-031;AP Bronikowo;Bronikowo;Morownicka;16;Śmigiel;kościański;wielkopolskie
42-471;AP Brudzowice;Brudzowice;Przykościelna;16;Siewierz;będziński;śląskie
89-632;UP Brusy;Brusy;Dworcowa;14;Brusy;chojnicki;pomorskie
33-192;AP Bruśnik;Bruśnik;;131 B;Ciężkowice;tarnowski;małopolskie
05-840;UP Brwinów;Brwinów;Pszczelińska;2;Brwinów;pruszkowski;mazowieckie
49-300;UP Brzeg 1;Brzeg;Piastowska;7;Brzeg;brzeski;opolskie
49-305;FUP Brzeg 1;Brzeg;Brzechwy;3;Brzeg;brzeski;opolskie
49-304;FUP Brzeg 1;Brzeg;Chocimska;7;Brzeg;brzeski;opolskie
49-306;FUP Brzeg 1;Brzeg;Plac Zamkowy;5;Brzeg;brzeski;opolskie
49-313;FUP Brzeg 1;Lubsza;Kamienna;1;Lubsza;brzeski;opolskie
49-300;FUP Brzeg 1;Skarbimierz-Osiedle;Parkowa;8A;Skarbimierz;brzeski;opolskie
49-302;UP Brzeg 2;Brzeg;Plac Dworcowy;2;Brzeg;brzeski;opolskie
56-120;UP Brzeg Dolny 1;Brzeg Dolny;Kolejowa;17;Brzeg Dolny;wołowski;dolnośląskie
56-122;FUP Brzeg Dolny 1;Brzeg Dolny;Osiedlowa;1;Brzeg Dolny;wołowski;dolnośląskie
56-120;FUP Brzeg Dolny 1;Brzeg Dolny;Zwycięstwa;9;Brzeg Dolny;wołowski;dolnośląskie
32-800;UP Brzesko 1;Brzesko;Tadeusza Kościuszki;5;Brzesko;brzeski;małopolskie
32-825;FUP Brzesko 1;Borzęcin;;583G;Borzęcin;brzeski;małopolskie
32-810;FUP Brzesko 1;Brzesko;Dworcowa;1 A;Brzesko;brzeski;małopolskie
32-800;FUP Brzesko 1;Brzesko;Partyzantów;1a;Brzesko;brzeski;małopolskie
32-860;FUP Brzesko 1;Czchów;Armii Krajowej;8;Czchów;brzeski;małopolskie
32-864;FUP Brzesko 1;Gnojnik;;430;Gnojnik;brzeski;małopolskie
32-861;FUP Brzesko 1;Iwkowa;;509;Iwkowa;brzeski;małopolskie
32-822;FUP Brzesko 1;Strzelce Wielkie;;47;Szczurowa;brzeski;małopolskie
32-820;FUP Brzesko 1;Szczurowa;Rynek;1;Szczurowa;brzeski;małopolskie
32-852;FUP Brzesko 1;Wola Dębińska;;240;Dębno;brzeski;małopolskie
32-821;FUP Brzesko 1;Zaborów;;62 A;Szczurowa;brzeski;małopolskie
32-620;UP Brzeszcze;Brzeszcze;Ofiar Oświęcimia;31;Brzeszcze;oświęcimski;małopolskie
32-620;FUP Brzeszcze;Brzeszcze;Dworcowa;12;Brzeszcze;oświęcimski;małopolskie
32-620;FUP Brzeszcze;Jawiszowice;os. Osiedle Paderewskiego;12;Brzeszcze;oświęcimski;małopolskie
87-880;UP Brześć Kujawski;Brześć Kujawski;Krakowska;14A;Brześć Kujawski;włocławski;kujawsko-pomorskie
95-062;AP Brzeziny;Brzeziny;Przedwiośnie;2G;Brzeziny;brzeziński;łódzkie
95-060;UP Brzeziny k. Łodzi;Brzeziny;Adama Mickiewicza;22;Brzeziny;brzeziński;łódzkie
95-061;FUP Brzeziny k. Łodzi;Dmosin;;9;Dmosin;brzeziński;łódzkie
95-047;FUP Brzeziny k. Łodzi;Jeżów;Brzezińska;13;Jeżów;brzeziński;łódzkie
95-063;FUP Brzeziny k. Łodzi;Rogów;Żeromskiego;11;Rogów;brzeziński;łódzkie
64-915;AP Brzeźnica;Brzeźnica;;41;Jastrowie;złotowski;wielkopolskie
26-900;AP Brzeźnica k. Kozienic;Brzeźnica;;57;Kozienice;kozienicki;mazowieckie
62-512;AP Brzeźno;Brzeźno;Ogrodowa;8;Krzymów;koniński;wielkopolskie
87-600;AP Brzeźno;Brzeźno;;32;Lipno;lipnowski;kujawsko-pomorskie
77-139;AP Brzeźno Szlacheckie;Brzeźno Szlacheckie;Szlachecka;48;Lipnica;bytowski;pomorskie
39-230;UP Brzostek;Brzostek;Szkolna;2;Brzostek;dębicki;podkarpackie
21-107;AP Brzostówka;Brzostówka;;141;Serniki;lubartowski;lubelskie
66-502;AP Brzoza;Brzoza;;63;Strzelce Krajeńskie;strzelecko-drezdenecki;lubuskie
87-313;UP Brzozie;Brzozie;;35;Brzozie;brodnicki;kujawsko-pomorskie
21-302;AP Brzozowica Duża;Brzozowica Duża;;115;Kąkolewnica;radzyński;lubelskie
36-200;UP Brzozów;Brzozów;Adama Mickiewicza;12;Brzozów;brzozowski;podkarpackie
36-200;FUP Brzozów;Brzozów;3 Maja;55;Brzozów;brzozowski;podkarpackie
36-200;AP Brzozów;Brzozów;Tadeusza Kościuszki;71;Brzozów;brzozowski;podkarpackie
18-201;AP Brzóski Stare;Brzóski Stare;;25;Wysokie Mazowieckie;wysokomazowiecki;podlaskie
97-215;AP Brzustów;Brzustów;;86;Inowłódz;tomaszowski;łódzkie
64-236;AP Bucz;Bucz;Kasztanowa;26;Przemęt;wolsztyński;wielkopolskie
76-249;AP Budowo;Budowo;;49B;Dębnica Kaszubska;słupski;pomorskie
62-541;AP Budzisław Kościelny;Budzisław Kościelny;Kaliska;4;Kleczew;koniński;wielkopolskie
35-317;AP Budziwój;Rzeszów (Budziwój);Budziwojska;204 A;Rzeszów;Rzeszów;podkarpackie
57-214;AP Budzów;Budzów;;55;Stoszowice;ząbkowicki;dolnośląskie
64-840;UP Budzyń;Budzyń;Władysława Łokietka;29;Budzyń;chodzieski;wielkopolskie
64-320;UP Buk;Buk;Dworcowa;10;Buk;poznański;wielkopolskie
29-106;AP Bukowa;Bukowa;Osiedlowa;25;Krasocin;włoszczowski;świętokrzyskie
22-107;AP Bukowa Mała;Bukowa Mała;;78;Sawin;chełmski;lubelskie
56-321;AP Bukowice;Bukowice;Wrocławska;76;Krośnice;milicki;dolnośląskie
26-341;AP Bukowiec n. Pilicą;Bukowiec nad Pilicą;;35 A;Mniszków;opoczyński;łódzkie
86-122;UP Bukowiec Pomorski;Bukowiec;Floriana Ceynowy;20;Bukowiec;świecki;kujawsko-pomorskie
84-311;AP Bukowina;Bukowina;;40B;Cewice;lęborski;pomorskie
34-530;UP Bukowina Tatrzańska;Bukowina Tatrzańska;Kościuszki;140;Bukowina Tatrzańska;tatrzański;małopolskie
63-520;AP Bukownica;Bukownica;;43;Grabów nad Prosną;ostrzeszowski;wielkopolskie
32-333;AP Bukowno;Bukowno;Sławkowska;2a;Bukowno;olkuski;małopolskie
38-505;UP Bukowsko;Bukowsko;;354;Bukowsko;sanocki;podkarpackie
48-340;AP Burgrabice;Burgrabice;;187;Głuchołazy;nyski;opolskie
28-100;AP Busko-Zdrój;Busko-Zdrój;Bohaterów Warszawy;67;Busko-Zdrój;buski;świętokrzyskie
28-100;UP Busko-Zdrój 1;Busko-Zdrój;Adama Mickiewicza;11;Busko-Zdrój;buski;świętokrzyskie
28-101;FUP Busko-Zdrój 1;Busko-Zdrój;1 Maja;18;Busko-Zdrój;buski;świętokrzyskie
28-102;FUP Busko-Zdrój 1;Busko-Zdrój;os. gen. Władysława Sikorskiego;10;Busko-Zdrój;buski;świętokrzyskie
28-142;FUP Busko-Zdrój 1;Tuczępy;;33;Tuczępy;buski;świętokrzyskie
23-100;UP Bychawa;Bychawa;Marszałka Józefa Piłsudskiego;7-15;Bychawa;lubelski;lubelskie
46-220;UP Byczyna;Byczyna;Stawowa;1;Byczyna;kluczborski;opolskie
85-451;AP Bydgoszcz;Bydgoszcz;Flisacka;27;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-455;AP Bydgoszcz;Bydgoszcz;św. Maksymiliana Kolbego;46;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-307;AP Bydgoszcz;Bydgoszcz;Juliusza Kossaka;48;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-604;AP Bydgoszcz;Bydgoszcz;Nakielska;86;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-857;AP Bydgoszcz;Bydgoszcz;Ogrody;15;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-713;AP Bydgoszcz;Bydgoszcz;Sobieszewska;2a;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-001;UP Bydgoszcz 1;Bydgoszcz;Jagiellońska;6;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-001;FUP Bydgoszcz 1;Bydgoszcz;Fordońska;141;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-717;FUP Bydgoszcz 1;Bydgoszcz;Gajowa;99;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-001;FUP Bydgoszcz 1;Bydgoszcz;Grudziądzka;9/15;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-097;FUP Bydgoszcz 1;Bydgoszcz;Jagiellońska;41;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-020;FUP Bydgoszcz 1;Bydgoszcz;Ks. Stanisława Konarskiego;1/3;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-001;FUP Bydgoszcz 1;Bydgoszcz;Kruszwicka;1;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-169;FUP Bydgoszcz 1;Bydgoszcz;Przyrzecze;7-13;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;FUP Bydgoszcz 1;Bydgoszcz;Mariana Rejewskiego;3;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-202;FUP Bydgoszcz 1;Bydgoszcz;św. Trójcy;33;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-817;FUP Bydgoszcz 1;Bydgoszcz;Toruńska;101;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-128;FUP Bydgoszcz 1;Bydgoszcz;Wały Jagiellońskie;4;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-002;UP Bydgoszcz 2;Bydgoszcz;Zygmunta Augusta;3a;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
86-061;FUP Bydgoszcz 2;Brzoza;Łabiszyńska;1;Nowa Wieś Wielka;bydgoski;kujawsko-pomorskie
85-537;FUP Bydgoszcz 2;Bydgoszcz;Drzycimska;7;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
86-032;FUP Bydgoszcz 2;Niemcz;Pod Wierzbami;2a;Osielsko;bydgoski;kujawsko-pomorskie
86-033;FUP Bydgoszcz 2;Osielsko;Szosa Gdańska;49;Osielsko;bydgoski;kujawsko-pomorskie
85-204;UP Bydgoszcz 4;Bydgoszcz;Grunwaldzka;30;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-406;UP Bydgoszcz 6;Bydgoszcz;Lubostrońska;7;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-508;UP Bydgoszcz 8;Bydgoszcz;Żeglarska;131;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-810;UP Bydgoszcz 10;Bydgoszcz;Wojska Polskiego;23;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-802;FUP Bydgoszcz 10;Bydgoszcz;Sandomierska;20;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-816;FUP Bydgoszcz 10;Bydgoszcz;Świetlicowa;9;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;UP Bydgoszcz 11;Bydgoszcz;Jerzego Rupniewskiego;13;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-796;FUP Bydgoszcz 11;Bydgoszcz;Aleje Prof. Sylwestra Kaliskiego;7;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-797;FUP Bydgoszcz 11;Bydgoszcz;P.por. Emilii Gierczak;13;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-613;UP Bydgoszcz 13;Bydgoszcz;Józefa Sułkowskiego;50;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-609;FUP Bydgoszcz 13;Bydgoszcz;Jana Karola Chodkiewicza;50;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-114;UP Bydgoszcz 14;Bydgoszcz;Karpacka;31;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-915;UP Bydgoszcz 15;Bydgoszcz;Gdańska;140;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-003;FUP Bydgoszcz 15;Bydgoszcz;Gdańska;58;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-198;FUP Bydgoszcz 15;Bydgoszcz;Świętojańska;18;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-017;UP Bydgoszcz 17;Bydgoszcz;Warszawska;2;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-799;UP Bydgoszcz 19;Bydgoszcz;aleja marsz. Józefa Piłsudskiego;4;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-321;UP Bydgoszcz 21;Bydgoszcz;Władysława Broniewskiego;8;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-242;FUP Bydgoszcz 21;Bydgoszcz;Kcyńska;44;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-311;FUP Bydgoszcz 21;Bydgoszcz;Nakielska;81;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-323;FUP Bydgoszcz 21;Bydgoszcz;Wysoka;36;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-099;UP Bydgoszcz 23;Bydgoszcz;Gajowa;7;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-092;FUP Bydgoszcz 23;Bydgoszcz;Marii Curie Skłodowskiej;26;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-123;UP Bydgoszcz 24;Bydgoszcz;Brzozowa;37;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-700;UP Bydgoszcz 27;Bydgoszcz;Połczyńska;3;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-739;FUP Bydgoszcz 27;Bydgoszcz;Kijowska;39;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-788;UP Bydgoszcz 28;Bydgoszcz;Wyzwolenia;93a;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-857;UP Bydgoszcz 31;Bydgoszcz;Adama Grzymały Siedleckiego;28;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-808;FUP Bydgoszcz 31;Bydgoszcz;Białogardzka;27;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-849;FUP Bydgoszcz 31;Bydgoszcz;Magnuszewska;6;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-858;FUP Bydgoszcz 31;Bydgoszcz;Przyjazna;13;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-443;UP Bydgoszcz 33;Bydgoszcz;Ołowiana;4;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-124;UP Bydgoszcz 39;Bydgoszcz;Marii Konopnickiej;30;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-195;FUP Bydgoszcz 39;Bydgoszcz;Orla;28;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-738;UP Bydgoszcz 40;Bydgoszcz;Karola Szajnochy;2;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-792;UP Bydgoszcz 44;Bydgoszcz;Jana Marcina Szancera;1;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-790;FUP Bydgoszcz 44;Bydgoszcz;Bydgoska;40;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-395;UP Bydgoszcz 46;Bydgoszcz;Nakielska;158;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-300;FUP Bydgoszcz 46;Bydgoszcz;Jana Maciaszka;115;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-455;UP Bydgoszcz 47;Bydgoszcz;Wielorybia;103;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-798;UP Bydgoszcz 48;Bydgoszcz;Stanisława Skarżyńskiego;7a;Bydgoszcz;Bydgoszcz;kujawsko-pomorskie
85-900;PP Bydgoszcz C102;Lisi Ogon;Pocztowa;12;Białe Błota;bydgoski;kujawsko-pomorskie
89-510;UP Bysław;Bysław;Główna;61;Lubiewo;tucholski;kujawsko-pomorskie
89-526;FUP Bysław;Lubiewo;Wojska Polskiego;43;Lubiewo;tucholski;kujawsko-pomorskie
43-360;UP Bystra;Bystra;Wyzwolenia;1;Wilkowice;bielski;śląskie
58-100;AP Bystrzyca Górna;Bystrzyca Górna;;15;Świdnica;świdnicki;dolnośląskie
39-124;AP Bystrzyca k. Dębicy;Bystrzyca;;38 A;Iwierzyce;ropczycko-sędziszowski;podkarpackie
